"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/25 1:06:10 PM GMT+1","Comunidad de Madrid","100","1"
"2020/03/25 1:06:18 PM GMT+1","Baleares","50","1"
"2020/03/25 1:06:44 PM GMT+1","Comunidad Valenciana","20","0"
"2020/03/25 1:06:49 PM GMT+1","Cataluña","100","0"
"2020/03/25 1:06:53 PM GMT+1","Principado de Asturias","100","1"
"2020/03/25 1:07:06 PM GMT+1","Extremadura","100","3"
"2020/03/25 1:07:10 PM GMT+1","Comunidad de Madrid","200","4"
"2020/03/25 1:08:06 PM GMT+1","Comunidad Valenciana","100","25"
"2020/03/25 1:08:50 PM GMT+1","Galicia","200","0"
"2020/03/25 1:08:53 PM GMT+1","Andalucía","100","3"
"2020/03/25 1:09:30 PM GMT+1","Comunidad de Madrid","80","10"
"2020/03/25 1:09:30 PM GMT+1","Andalucía","200","4"
"2020/03/25 1:09:54 PM GMT+1","Región de Murcia","100","0"
"2020/03/25 1:09:55 PM GMT+1","Castilla y León","200","5"
"2020/03/25 1:09:55 PM GMT+1","Comunidad de Madrid","200","5"
"2020/03/25 1:10:23 PM GMT+1","Comunidad de Madrid","200","4"
"2020/03/25 1:10:58 PM GMT+1","Castilla-La Mancha","50","8"
"2020/03/25 1:11:37 PM GMT+1","La Rioja","50","0"
"2020/03/25 1:11:48 PM GMT+1","Andalucía","50","1"
"2020/03/25 1:11:50 PM GMT+1","País Vasco","10","0"
"2020/03/25 1:11:58 PM GMT+1","Comunidad Valenciana","20","8"
"2020/03/25 1:12:21 PM GMT+1","Cantabria","100","0"
"2020/03/25 1:13:06 PM GMT+1","Comunidad de Madrid","100","5"
"2020/03/25 1:15:28 PM GMT+1","Castilla-La Mancha","100","2"
"2020/03/25 1:17:20 PM GMT+1","Comunidad de Madrid","30","3"
"2020/03/25 1:19:08 PM GMT+1","Comunidad de Madrid","300","15"
"2020/03/25 1:19:23 PM GMT+1","Andalucía","100","2"
"2020/03/25 1:19:23 PM GMT+1","Comunidad de Madrid","75","6"
"2020/03/25 1:20:04 PM GMT+1","Comunidad de Madrid","150","4"
"2020/03/25 1:20:08 PM GMT+1","Comunidad de Madrid","150","4"
"2020/03/25 1:22:36 PM GMT+1","Comunidad de Madrid","7","1"
"2020/03/25 1:22:55 PM GMT+1","Cataluña","100","0"
"2020/03/25 1:22:58 PM GMT+1","Andalucía","25","0"
"2020/03/25 1:23:10 PM GMT+1","Comunidad de Madrid","100","15"
"2020/03/25 1:23:20 PM GMT+1","Comunidad de Madrid","110","5"
"2020/03/25 1:24:43 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/25 1:25:34 PM GMT+1","Comunidad de Madrid","100","1"
"2020/03/25 1:25:49 PM GMT+1","Región de Murcia","100","0"
"2020/03/25 1:28:35 PM GMT+1","Cataluña","100","2"
"2020/03/25 1:28:52 PM GMT+1","Principado de Asturias","60","0"
"2020/03/25 1:32:21 PM GMT+1","Baleares","200","1"
"2020/03/25 1:36:21 PM GMT+1","País Vasco","150","1"
"2020/03/25 1:39:38 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/25 1:39:41 PM GMT+1","Andalucía","30","2"
"2020/03/25 1:41:25 PM GMT+1","Galicia","100","2"
"2020/03/25 1:42:06 PM GMT+1","Comunidad de Madrid","40","5"
"2020/03/25 1:46:27 PM GMT+1","Comunidad de Madrid","25","0"
"2020/03/25 1:48:55 PM GMT+1","Castilla y León","20","0"
"2020/03/25 1:49:17 PM GMT+1","Andalucía","30","1"
"2020/03/25 1:50:34 PM GMT+1","Comunidad de Madrid","300","5"
"2020/03/25 1:51:04 PM GMT+1","Galicia","40","0"
"2020/03/25 1:51:20 PM GMT+1","Castilla-La Mancha","40","6"
"2020/03/25 1:51:22 PM GMT+1","Todo el país","100","1"
"2020/03/25 1:54:41 PM GMT+1","Andalucía","100","1"
"2020/03/25 1:57:14 PM GMT+1","Comunidad Valenciana","100","1"
"2020/03/25 1:57:32 PM GMT+1","Comunidad de Madrid","200","5"
"2020/03/25 2:01:05 PM GMT+1","Andalucía","1000","0"
"2020/03/25 2:01:17 PM GMT+1","Galicia","200","0"
"2020/03/25 2:02:21 PM GMT+1","Castilla-La Mancha","500","159"
"2020/03/25 2:06:35 PM GMT+1","Galicia","30","0"
"2020/03/25 2:15:00 PM GMT+1","Comunidad Valenciana","50","0"
"2020/03/25 2:19:11 PM GMT+1","Comunidad de Madrid","60","10"
"2020/03/25 2:19:12 PM GMT+1","Comunidad de Madrid","150","8"
"2020/03/25 2:32:51 PM GMT+1","Andalucía","100","1"
"2020/03/25 2:36:33 PM GMT+1","Comunidad de Madrid","70","7"
