"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"25797","2020/07/04",20,0,1720,28,172.418987156893,39.4189871568928,0.00040020899486426,0.000372904518510337,0.000429512734815043,25.3640408139192,3.16340677457563e-05,7.23228300288965e-06,5450421
"25796","2020/07/05",29,0,1749,28,207.678682675144,46.678682675144,0.000404827140059376,0.000377205289342679,0.00043447167353947,36.5854042429602,3.81032369197066e-05,8.56423433623641e-06,5450421
"25795","2020/07/06",15,0,1764,28,225.171340943966,50.1713409439661,0.000405948954524617,0.000378247711530196,0.000435678917958169,18.8145638322195,4.13126510674985e-05,9.20503956372655e-06,5450421
"25794","2020/07/07",1,0,1765,28,202.690048771362,44.6900487713618,0.000403587450547988,0.000376044554327962,0.00043314769052012,1.24630114209814,3.71879619521798e-05,8.19937556591717e-06,5450421
"25793","2020/07/08",2,0,1767,28,174.933431049165,37.9334310491653,0.000401334611090729,0.000373942438798645,0.000430733325098939,2.47588295678069,3.20953979608484e-05,6.95972495503839e-06,5450421
"25792","2020/07/09",31,0,1798,28,196.022848212174,41.0228482121738,0.000405669826682317,0.00037797875081757,0.000435389576595246,38.1219196968218,3.59647168929104e-05,7.52654670385531e-06,5450421
"25791","2020/07/10",53,0,1851,28,242.498323792576,48.4983237925756,0.000414881397194411,0.000386558497341947,0.000445279498242991,64.7475682486339,4.44916684037023e-05,8.89808765094945e-06,5450421
"25790","2020/07/11",19,0,1870,28,256.447450347324,50.447450347324,0.000416135404368452,0.000387723614952371,0.000446629165959282,23.0449998874079,4.70509434679127e-05,9.25569792632972e-06,5450421
"25789","2020/07/12",23,0,1893,28,282.823728075094,54.8237280750938,0.000417823900516368,0.00038929304356114,0.000448445752448422,27.6694515153489,5.18902536290488e-05,1.00586226412774e-05,5450421
"25788","2020/07/13",8,0,1901,28,289.78896360325,55.7889636032499,0.000415869045683502,0.000387467707389244,0.000446352198801348,9.53881695883564,5.31681797797363e-05,1.02357163975498e-05,5450421
"25787","2020/07/14",1,0,1902,28,265.35861986667,50.35861986667,0.000412239654293669,0.000384082062195643,0.000442461518771994,1.1813247470005,4.86858941477493e-05,9.23940001454383e-06,5450421
"25786","2020/07/15",6,0,1908,28,255.813316713445,47.8133167134446,0.000409753222642984,0.000381761693804589,0.000439797146206744,7.02304267141823,4.69345976601522e-05,8.77240798709762e-06,5450421
"25785","2020/07/16",19,0,1927,28,252.494600389188,45.4946003891881,0.000410217855711755,0.000382190632026766,0.000440300402582774,22.0453244896627,4.63257059205496e-05,8.34698831323086e-06,5450421
"25784","2020/07/17",24,0,1951,28,243.523844664893,41.5238446648934,0.000411865579282136,0.000383722363778019,0.000442072892826078,27.6146485186655,4.46798228366017e-05,7.61846555796212e-06,5450421
"25783","2020/07/18",14,0,1965,28,240.685800259726,39.6858002597256,0.000411421176379331,0.000383304732313214,0.000441600038047632,15.9765194270517,4.41591209669355e-05,7.28123575403177e-06,5450421
"25782","2020/07/19",11,0,1976,28,251.889317799829,40.8893177998293,0.000410324295316417,0.000382279286412817,0.000440426759468987,12.4498186822018,4.6214653473526e-05,7.5020476032639e-06,5450421
"25781","2020/07/20",3,0,1979,28,252.78108487322,40.7810848732197,0.000407588050519927,0.000379726843548631,0.000437493481825334,3.3676500301711,4.63782678206362e-05,7.48218988463821e-06,5450421
"25780","2020/07/21",1,0,1980,28,215.772776292681,33.7727762926808,0.000404546733223044,0.00037689005385815,0.000434232895472037,1.11361111628297,3.95882769959753e-05,6.19636103205254e-06,5450421
"25779","2020/07/22",41,0,2021,28,196.338870834462,26.3388708344617,0.00040980907936858,0.000381789510002808,0.000439885007662174,45.3136627904147,3.60226982162408e-05,4.83244704114813e-06,5450421
"25778","2020/07/23",37,0,2058,28,213.88720766302,25.8872076630195,0.000414255562125298,0.000385929080053362,0.000444661155692177,40.5933367159658,3.92423278244047e-05,4.74957946606685e-06,5450421
"25777","2020/07/24",31,0,2089,28,219.966564284685,23.9665642846845,0.000417258446630571,0.00038872331364479,0.000447888266983779,33.7488081370139,4.03577199421264e-05,4.39719505790186e-06,5450421
"25776","2020/07/25",29,0,2118,28,241.735521695896,24.735521695896,0.000419517521204323,0.000390824615816246,0.000450316954140287,31.3077743700471,4.43517155272769e-05,4.53827726259971e-06,5450421
