Timestamp,Περιοχή,"Με πόσα περίπου άτομα έρχεστε σε επαφή τώρα (στο σπίτι, τηλέφωνο, τηλεδιάσκεψη κτλ.) ?","Πόσα από τα στενά σας πρόσωπα (συγγενείς, φίλοι, συνεργάτες) γνωρίζετε ότι έχουν προσβληθεί (ή έχουν συμπτώματα) του #COVID19 και βρίσκονται στην Κύπρο τώρα?"
2020/03/20 5:28:09 PM GMT+1,,40,0
2020/03/20 5:31:01 PM GMT+1,,8,0
2020/03/20 5:33:05 PM GMT+1,,3,0
2020/03/20 5:33:07 PM GMT+1,,7,0
2020/03/20 5:35:43 PM GMT+1,,10,0
2020/03/20 5:35:58 PM GMT+1,,5,0
2020/03/20 5:37:55 PM GMT+1,,4,0
2020/03/20 5:38:32 PM GMT+1,,12,0
2020/03/20 5:39:46 PM GMT+1,,3,0
2020/03/20 5:39:56 PM GMT+1,,3,0
2020/03/20 5:39:58 PM GMT+1,,2,0
2020/03/20 5:40:05 PM GMT+1,,6,0
2020/03/20 5:40:30 PM GMT+1,,4,0
